MHC,Number_of_binders,PCC,ANN_error,AUC,nh,nPeptide
B2705,913,0.2267554253339767,0.0140554951503872,0.5,64,969
B3501,525,0.603042483329773,0.041211012750864,0.7037037037037037,64,736
B4001,1038,-0.0501855947077274,0.0173312202095985,0.5,64,1078
B4002,79,0.7217780351638794,0.0359153188765049,0.6666666666666666,64,118
B4402,75,-0.0830093249678611,0.0443724244832992,0.5,64,119
B4403,85,0.4661551415920257,0.0341502130031585,0.4705882352941176,64,119
B4501,65,0.5007384419441223,0.028108837082982,0.6507936507936508,64,114
B5101,159,0.4913966655731201,0.096180759370327,0.6308243727598566,64,244
B5301,148,0.4565338790416717,0.0683423429727554,0.6282258064516129,64,254
B5401,174,0.6044735312461853,0.0501272715628147,0.5637651821862347,64,255
B5701,48,0.8407182097434998,0.0352149493992328,0.7,64,59
B5801,884,0.7646230459213257,0.0138761848211288,0.7536561585960352,64,988
A0101,1054,-0.0636892616748809,0.025196922942996,0.5,128,1157
A0201,1908,0.5015221834182739,0.0704617947340011,0.7137086004273504,128,3089
A0202,798,0.3742563724517822,0.0846937671303749,0.6067956515492553,128,1447
A0203,804,0.3024519681930542,0.089236170053482,0.5043910441999614,128,1443
A0206,924,0.2053918540477752,0.0824039205908775,0.5126477296288616,128,1437
A0301,1577,0.1438429057598114,0.0642082914710044,0.5,128,2094
A1101,1292,0.6785511374473572,0.0410173349082469,0.7833077010708589,128,1985
A2301,55,0.309518814086914,0.1121916621923446,0.4545454545454545,128,104
A2402,98,-0.0267281401902437,0.062999278306961,0.5714285714285714,128,197
A2403,225,0.5077845454216003,0.0213912613689899,0.7397959183673468,128,254
A2601,619,0.0446809418499469,0.0249916296452283,0.5,128,672
A2902,92,0.341673195362091,0.0878041759133338,0.5,128,160
A3001,592,0.5177569389343262,0.030688663944602,0.6414494596312778,128,669
A3002,63,0.0396707244217395,0.1549097746610641,0.4142857142857142,128,92
A3101,1442,0.5573346614837646,0.0416983962059021,0.6591695501730103,128,1869
A3301,956,-0.0194084551185369,0.0466662943363189,0.5,128,1140
A6801,643,0.2869262397289276,0.0747783556580543,0.5884024577572965,128,1141
A6802,1037,0.2786507904529571,0.0710613578557968,0.5,128,1434
A6901,747,0.0517675541341304,0.0279179513454437,0.5,128,833
